Fecha;Region Hidrologica;Nombre Río;Aportes Caudal m3/s;Aportes Energía kWh;Aportes %
11/02/2016;ANTIOQUIA;GRANDE;8.434;2,645,300.000;0.3867397661
11/02/2016;ANTIOQUIA;GUADALUPE;7.398;2,022,200.000;0.5794269341
11/02/2016;ANTIOQUIA;GUATAPE;7.055;1,190,300.000;0.3334173669
11/02/2016;ANTIOQUIA;MIEL I;24.118;1,163,000.000;0.2907500000
11/02/2016;ANTIOQUIA;NARE;22.740;8,023,200.000;0.6886866953
11/02/2016;ANTIOQUIA;PORCE II;25.710;3,272,900.000;0.4936500754
11/02/2016;ANTIOQUIA;PORCE III;26.699;1,969,900.000;1.5759200000
11/02/2016;ANTIOQUIA;SAN CARLOS;13.077;1,716,600.000;0.8498019802
11/02/2016;ANTIOQUIA;TENCHE;3.028;827,700.000;1.0346250000
11/02/2016;CARIBE;SINU URRA;117.110;1,258,600.000;0.9392537313
11/02/2016;CENTRO;AMOYA;11.158;1,301,700.000;0.7985889571
11/02/2016;CENTRO;BETANIA CP;43.310;648,200.000;0.2987096774
11/02/2016;CENTRO;BOGOTA N.R.;0.000;;
11/02/2016;CENTRO;EL QUIMBO;233.680;9,511,100.000;1.5096984130
11/02/2016;CENTRO;PRADO;8.470;99,900.000;0.1585714286
11/02/2016;CENTRO;SOGAMOSO;106.907;3,347,600.000;0.5305229794
11/02/2016;ORIENTE;BATA;8.300;1,396,900.000;0.5844769874
11/02/2016;ORIENTE;CHUZA;1.040;413,700.000;0.3041911765
11/02/2016;ORIENTE;GUAVIO;16.020;3,746,100.000;0.8179257642
11/02/2016;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;3,440,000.000;0.6013986014
11/02/2016;VALLE;ALTOANCHICAYA;25.940;2,762,700.000;0.6721897810
11/02/2016;VALLE;CALIMA;1.360;61,100.000;0.1420930233
11/02/2016;VALLE;CAUCA SALVAJINA;24.470;583,100.000;0.1680403458
11/02/2016;VALLE;DIGUA;22.760;290,700.000;1.0024137930
11/02/2016;VALLE;FLORIDA II;8.050;161,000.000;1.0733333330
12/02/2016;ANTIOQUIA;A. SAN LORENZO;12.086;2,760,300.000;0.5412352941
12/02/2016;ANTIOQUIA;CONCEPCION;1.967;537,700.000;0.4136153846
